name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost_for_two,listed_in(type),listed_in(city),price_category
Smoor,yes,no,4.6,1689,"080 25211901
+91 8861460270",Indiranagar,"Dessert Parlor, Cafe","Hot Chocolate, Chocolate Pastry, Cheesecake, Chocolate Sundae, Coffee, Chips, Macaroon","Desserts, Cafe, Beverages",900,Desserts,Indiranagar,Premium
Milano Ice Cream,no,no,4.9,2090,"080 41256483
+91 8281464593",Indiranagar,Dessert Parlor,"Pie, Vanilla Gelato, Mango Ice Cream, Tiramisu, Truffle, Gelato Ice Cream, Ice Cream Sandwiches","Ice Cream, Desserts",400,Desserts,Indiranagar,Mid
Lazy Suzy,yes,yes,4.3,1236,080 49652565,Indiranagar,"Cafe, Bakery","Hot Chocolate, Pizza, Sandwiches, Pancakes, Mushroom Pasta, Pasta Salad, Sandwich","Cafe, Continental, Beverages, Burger, Desserts, Pizza, Bakery, European",1000,Desserts,Indiranagar,Premium
Karachi Bakery,yes,no,3.9,56,+91 9441444756,Indiranagar,Bakery,Pasta,Bakery,500,Desserts,Indiranagar,Mid
Stoner,yes,no,4.5,2686,"080 41312123
+91 9849012123",Indiranagar,"Dessert Parlor, Cafe","Tiramisu Ice Cream, Chocolate Overload, Paneer Tikka Pizza, Hot Chocolate, Chicken Chilli Pizza, Mango Tango, Chocolate Lava","Ice Cream, Cafe, Beverages, Burger, Desserts, Pizza",550,Desserts,Indiranagar,Mid
CakeWalk,no,no,4.1,540,"080 25205393
080 41611644",Indiranagar,Dessert Parlor,"Rainbow Pastry, Cheesecake, Brownie, Fruit Cake, Rainbow Cake, Pie, Sandwiches","Desserts, Bakery",500,Desserts,Indiranagar,Mid
Natural Ice Cream,no,no,4.6,922,"080 25200059
080 25200159",Indiranagar,Dessert Parlor,"Mango Ice Cream, Coffee, Chocolate Icecreams, Tender Coconut Ice Cream, Kala Jamun, Kesar Pista, Malai Korma","Ice Cream, Desserts",150,Desserts,Indiranagar,Low
Third Wave Coffee Roasters,no,no,4.2,311,"+91 7337686222
+91 9903006952",Indiranagar,Cafe,"Wedges, Chicken Sandwich, Sandwiches, Cappuccino, Gourmet Coffee, Cheesecake, Fries","Cafe, Continental, Desserts",800,Desserts,Indiranagar,Premium
Waffle Magic,no,no,4.2,583,080 45128813,Indiranagar,Cafe,"Wedges, Chicken Waffles, Sandwiches, Blueberry Waffles, Blueberry Pancakes, Fruit Pancake, Belgian Waffles","Cafe, Desserts",700,Desserts,Indiranagar,Mid
GMT - Gelateria Montecatini Terme,yes,no,4.4,275,"+91 7406210205
+91 7619440425",Indiranagar,Dessert Parlor,"Gelato Ice Cream, Chocolate Icecreams, Tiramisu, Coffee, Italian Icecream, Caramel Ice Cream, Waffle Cone","Desserts, Ice Cream",300,Desserts,Indiranagar,Mid
Gobble Up Churros Cafe,yes,no,4.3,374,"+91 9108258223
+91 9611103499",Indiranagar,Dessert Parlor,"Churros, Empanadas, Hot Chocolate, Chocolate Banana, Salad, Chocolate Shake, Patata Bravas","Street Food, Continental, Mexican, Beverages, Cafe, Desserts, Spanish",400,Desserts,Indiranagar,Mid
Spoonful Of Sugar,no,no,4.0,863,"080 25255534
080 25255535",Indiranagar,"Dessert Parlor, Cafe","Chicken Lasagne, Bannoffee Pie, Cup Cake, Salad, Salads, Nutella Cheesecake, Tiramisu","Desserts, Bakery, Cafe",800,Desserts,Indiranagar,Premium
Mama Mia!,yes,no,4.3,420,"+91 7892084813
+91 9886091914",Indiranagar,"Dessert Parlor, Cafe","Gelato, Strawberry Sundae, Hot Chocolate, Brownie, Wedges, Peri Peri Fries, Thick Shakes","Desserts, Cafe",400,Desserts,Indiranagar,Mid
Bite Me Cupcakes,yes,no,4.2,624,"+91 7259032026
+91 8197811135",Indiranagar,Dessert Parlor,"Cup Cake, Gooey Chocolate Cupcake, Tiramisu, Choco Cake",Desserts,300,Desserts,Indiranagar,Mid
Amma's Pastries,no,no,4.0,74,+91 9590607750,Indiranagar,Dessert Parlor,"Blueberry Cheesecake, Lava Cake",Bakery,400,Desserts,Indiranagar,Mid
Brownie Heaven,yes,no,4.3,127,"080 43722897
+91 8892768815",Indiranagar,Dessert Parlor,"Mocha Fudge, Red Velvet Brownie, Salted Caramel, Brownie Chocolate",Desserts,300,Desserts,Indiranagar,Mid
XO Belgian Waffle,yes,no,4.3,78,+91 7019299769,Indiranagar,Dessert Parlor,"Chocolate Waffles, Hot Chocolate, Nutella Waffle","Desserts, Beverages",400,Desserts,Indiranagar,Mid
Ibaco,yes,no,4.0,289,+91 9686388388,Indiranagar,Dessert Parlor,"Icecream Cake, Almond Crunch, Cream Cake, Belgian Chocoholic",Desserts,300,Desserts,Indiranagar,Mid
Apsara Ice Cream,no,no,4.6,206,"080 48903296
+91 8050097410",Indiranagar,Dessert Parlor,"Panipuri, Faluda, Guava Ice Cream, Kulfi, Belgian Chocolate, Coffee, Masala Chai","Ice Cream, Desserts",200,Desserts,Indiranagar,Low
Django,yes,yes,4.0,210,"+91 7618789640
+91 7618789641",Indiranagar,Cafe,"Burgers, Pizza, Coffee, Peri Peri Chicken Wings, Beef Burger, Mango Salad, Chicken Burger","Cafe, Italian, Pizza, Burger, Beverages",800,Desserts,Indiranagar,Premium
Kanti Sweets,yes,no,3.9,123,"080 41159163
080 22960604",Indiranagar,"Dessert Parlor, Quick Bites","Rasmalai, Gulab Jamun, Pav Bhaji, Chaat, Sev Puri, Kaju Katli","Mithai, Street Food",400,Desserts,Indiranagar,Mid
Keventers,yes,no,4.0,567,080 49653343,Indiranagar,"Beverage Shop, Dessert Parlor","Thick Shakes, Choco Chip Shake, Choco Hazelnut, Chocolate Hazelnut Shake, Oreo Shake, Kit Kat Shake, Butterscotch Shake","Desserts, Beverages, Ice Cream",400,Desserts,Indiranagar,Mid
Cake Genie,no,no,3.9,149,"080 40925748
+91 9972566644",Indiranagar,Dessert Parlor,"Cup Cake, Cheesecake, Chocolate Mudpie, Tiramisu, Apple Pie, Chocolate Cake, Blueberry Cheese Cake","Desserts, Fast Food",300,Desserts,Indiranagar,Mid
Namdhari's Salad Bar,no,no,3.9,82,080 42044187,Indiranagar,Quick Bites,"Salads, Pasta, Sandwiches, Momos, Hakka Noodles, Veg Salad, Russian Salad","Juices, Fast Food, Desserts, Salad",300,Desserts,Indiranagar,Mid
The Rolling Pin,no,no,4.0,74,"+91 9591565536
080 43021105",Indiranagar,"Bakery, Dessert Parlor","Hot Chocolate, Coffee, Cappuccino, Croissant, Cheesecake, Carrot Cake, Sourdough Bread","Bakery, Desserts",400,Desserts,Indiranagar,Mid
Salt Mango Tree,yes,yes,4.1,243,080 49652959,Indiranagar,Casual Dining,"Kerala Parotta, Appam, Buttermilk, Biryani, Chicken Fry, Beef Fry, Fish Curry",Kerala,800,Desserts,Indiranagar,Premium
Grubhouse,yes,no,4.1,332,080 40999721,Indiranagar,"Casual Dining, Cafe","Burgers, Pasta, Caramel Custard, Crispy Corn, Mutton Curry, Lemonade, Fries","Continental, Cafe, Steak",800,Desserts,Indiranagar,Premium
CakeZone,no,no,4.1,666,"080 39513573
+91 9916888854",Indiranagar,Bakery,"Cup Cake, Chocolate Truffle, Chocolate Cake, Coffee, Choco Truffle, Photo Cake, Cheesecake","Bakery, Desserts",500,Desserts,Indiranagar,Mid
Roll Over,yes,no,4.2,216,+91 7892989820,Indiranagar,Dessert Parlor,"Rolls, Ice Cream Roll, Brownie, Hot Chocolate, Peri Peri Fries, Irish Coffee, Mississippi Mudpie","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Desserts,Indiranagar,Mid
Eddy's Cafe,yes,no,4.1,137,+91 6361292968,Indiranagar,Cafe,"Dark Chocolate Shake, Cappuccino, Pancakes, Hot Chocolate, Wedges, Waffles, Garlic Bread","Cafe, American, Salad, Continental, Healthy Food, Italian, Coffee, Desserts",750,Desserts,Indiranagar,Premium
Kartik's Mithai Shoppe,yes,no,4.1,110,080 41264166,Indiranagar,"Quick Bites, Sweet Shop","Chaat, Panipuri, Chole Bhature, Rasmalai, Chhole Bhature, Sev Puri, Samosa","Mithai, Street Food",150,Desserts,Indiranagar,Low
Lakeview Milkbar,no,no,2.9,539,"080 25200443
+91 9945785031",Indiranagar,"Dessert Parlor, Cafe","Sandwiches, Brownie, Chicken Sandwich, Pizza, Hot Chocolate, Chocolate Sundae, Icecream Cake","Desserts, Cafe, Bakery",500,Desserts,Indiranagar,Mid
Chantilly,yes,no,4.1,114,"+91 9845377075
+91 9945600013",Indiranagar,"Cafe, Bakery","Cheesecake, Sandwiches, Tiramisu, Coffee, Hot Chocolate, Red Velvet Cake, Brownie","Cafe, Bakery",450,Desserts,Indiranagar,Mid
Sweet Truth,yes,no,4.0,48,+91 7710055553,Indiranagar,Delivery,"Cheesecake, Chocolate Decadence, Chocolate Fantasy, Lava Cake, Chocolava Cake, Chocolate Cake, Red Velvet Cake","Bakery, Desserts",500,Desserts,Indiranagar,Mid
The French Loaf,yes,no,3.5,138,"+91 7846869429
+91 9663454545",Indiranagar,"Bakery, Quick Bites","Cup Cake, Almond Pie, Chicken Delight, Apple Pie, Chicken Quiche","Bakery, Desserts, Sandwich",400,Desserts,Indiranagar,Mid
Krispy Kreme,yes,no,4.1,259,080 41106081,Indiranagar,Dessert Parlor,"Donut, Filter Coffee, Cookie Crunch, Custard, Hot Chocolate, Hot Coffee, Latte","Desserts, Beverages",300,Desserts,Indiranagar,Mid
The Belgian Waffle Co.,yes,no,4.0,71,080 43755127,Indiranagar,Dessert Parlor,"Waffles, Pancakes",Desserts,400,Desserts,Indiranagar,Mid
Asha Sweets Center,yes,no,4.1,57,+91 9113652552,Indiranagar,"Sweet Shop, Quick Bites","Badam Milk, Kulfi, Rasmalai, Rasgulla","Mithai, Street Food",200,Desserts,Indiranagar,Low
Crisp Cafe,no,no,4.0,97,080 43750235,Indiranagar,"Cafe, Casual Dining","Pancakes, Salsa, Steak, Fries, Burgers, Sandwich, Salted Caramel","Salad, Cafe, Continental, Steak, Italian, Burger, Desserts, Pizza",1100,Desserts,Indiranagar,Premium
KC Das - Sweet Paradise,no,no,2.9,52,+91 9740736386,Indiranagar,"Sweet Shop, Quick Bites","Rasgulla, Samosa","Mithai, Street Food",200,Desserts,Indiranagar,Low
Chai Cafe,no,no,3.9,49,+91 9620644111,Indiranagar,Cafe,"Kadak Chai, Cutting Chai, Ginger Tea, Vada Pav, Samosa Bun",Cafe,200,Desserts,Indiranagar,Low
La Madeleine Patisserie,no,no,3.9,71,+91 9899572226,Indiranagar,"Takeaway, Delivery","Cup Cake, Cheesecake, Belgian Chocolate Cake, Chocolate Raspberry Cake, Blueberry Cheese Cake",Bakery,200,Desserts,Indiranagar,Low
Cafe Coffee Day The Lounge,yes,no,2.9,59,080 32525537,Indiranagar,Cafe,"Coffee, Sandwiches, Pasta","Cafe, Fast Food",650,Desserts,Indiranagar,Mid
Troll,yes,no,3.8,102,+91 8147868986,Indiranagar,Dessert Parlor,"Ice Cream Roll, Oreo Ice Cream, Rolls, Chocolate Peanut Butter, Nutella Cookie","Desserts, Ice Cream",300,Desserts,Indiranagar,Mid
Baskin Robbins,no,no,3.8,80,080 42352445,Indiranagar,Dessert Parlor,"Cotton Candy, Banana Split","Ice Cream, Desserts",250,Desserts,Indiranagar,Low
Breadworks,yes,no,2.9,48,080 41464570,Indiranagar,"Bakery, Cafe","Sandwich, Coffee, Sandwiches, Brownie, Pizza","Bakery, Cafe",500,Desserts,Indiranagar,Mid
Melting Spot,no,no,4.0,134,"+91 9742061338
+91 9844188265",Indiranagar,"Cafe, Dessert Parlor","Sandwiches, Pav Bhaji, Ice Cream Roll, Sev Puri, Vada Pav, Sandwich, Dabeli","Cafe, Desserts, Beverages, Italian",600,Desserts,Indiranagar,Mid
Tempteys,no,no,4.1,131,"+91 9133382131
+91 9133382123",Indiranagar,"Dessert Parlor, Beverage Shop","Gelato, Thick Shakes, Corn Flakes, Raspberry Shake, Brownie, Oreo Shake","Desserts, Beverages",400,Desserts,Indiranagar,Mid
Ice Cream Works,yes,no,3.8,83,"080 42039001
+91 9845056444",Indiranagar,Dessert Parlor,"Faluda, Calcutta Paan, Chocolate Icecreams","Ice Cream, Ice Cream",300,Desserts,Indiranagar,Mid
Warm Oven,yes,no,4.3,888,"+91 8880233233
+91 8197170008",Domlur,Delivery,"Chocolate Truffle Cake, Eggless Cake, Cup Cake, Chocolate Dreamcake, Photo Cake, Fruit Cake, Litchi Cake","Bakery, Desserts",500,Desserts,Indiranagar,Mid
Gooey & Fluffy,yes,no,3.9,89,"+91 7338091095
+91 8147759894",Thippasandra,Delivery,Salted Caramel Brownie,"Desserts, Bakery",200,Desserts,Indiranagar,Low
Laddoos,yes,no,2.9,229,080 41518859,Jeevan Bhima Nagar,"Quick Bites, Dessert Parlor","Paratha, Panipuri, Puri Sabzi, Rasgulla, Rasmalai, Pav Bhaji, Samosa Chaat","North Indian, Street Food, Mithai",250,Desserts,Indiranagar,Low
All Shook Up!,yes,no,3.9,77,"+91 7349535300
+91 9535066411",Domlur,"Dessert Parlor, Beverage Shop","Sandwiches, Mint Oreo Shake, Faluda, Brownie Shake, Cheese Sandwich, Ice-cream Shake, Chicken Sandwich","Desserts, Beverages",300,Desserts,Indiranagar,Mid
Under The Tree,yes,no,3.0,64,"080 25351493
+91 9740197320",Domlur,Dessert Parlor,Sandwich,"Desserts, Juices, Fast Food",200,Desserts,Indiranagar,Low
Just Bake,yes,no,3.0,51,+91 8970010111,Jeevan Bhima Nagar,Bakery,Chocolate Cake,"Bakery, Desserts",400,Desserts,Indiranagar,Mid
New Shanthi Sagar,no,no,2.8,118,"080 25354139
080 25359331",Domlur,Casual Dining,"Coffee, Vada, Rava Masala Dosa, Faluda, Rice, Idli","North Indian, South Indian, Chinese, Fast Food, Beverages, Desserts, Street Food",450,Desserts,Indiranagar,Mid
Kanti's,yes,no,3.3,66,"080 25296559
+91 8296359142",Thippasandra,Sweet Shop,"Thali, Paratha","Mithai, Street Food",300,Desserts,Indiranagar,Mid
The Bengaluru Brasserie - Hyatt Centric MG Road,no,yes,4.1,117,"080 40187200
080 40187220",Ulsoor,Casual Dining,"Cocktails, Burgers, Chicken Chunks, Crispy Chicken","Continental, Asian, North Indian, South Indian",2000,Desserts,Indiranagar,Premium
Marzipan Cafe & Bakery,yes,no,4.2,431,"+91 9844422724
+91 9902069665",Ulsoor,"Cafe, Bakery","Coffee, Cheesecake, Chicken Baguette, Pasta, Mudcake, Wedges, Hot Chocolate","Cafe, Mediterranean, Bakery, Greek",700,Desserts,Indiranagar,Mid
Anand Sweets and Savouries,yes,no,4.0,261,080 41256466,Old Airport Road,Sweet Shop,"Chaat, Rasmalai, Mysore Pak, Rasgulla, Dahipuri, Jalebi, Chole","Mithai, Street Food",400,Desserts,Indiranagar,Mid
Sugar & Spice - Taj MG Road Bengaluru,no,no,4.0,79,"080 66604227
080 66604444",MG Road,Dessert Parlor,"Coffee, Chocolate Truffle, Cheesecake",Desserts,800,Desserts,Indiranagar,Premium
The Leela Cake Shop - The Leela Palace,no,no,3.9,72,080 25211234,Old Airport Road,Dessert Parlor,Macaroon,"Desserts, Bakery",1200,Desserts,Indiranagar,Premium
The Chocolate Heaven,yes,no,3.8,135,+91 9686977688,Old Airport Road,"Dessert Parlor, Cafe","Paneer Pizza, Sizzler Brownie, Hot Chocolate, Pancakes, Pasta, Coffee, Nutella Waffle","Desserts, Cafe, Italian, Beverages",700,Desserts,Indiranagar,Mid
Banchharam,no,no,3.9,65,080 25360030,Ulsoor,Quick Bites,"Rasgulla, Mishti Doi, Samosa, Kheer Kadam, Veg Cutlet, Rasmalai","Street Food, Mithai",200,Desserts,Indiranagar,Low
Juicy,yes,no,3.8,80,"+91 8197579190
+91 7676091548",Old Airport Road,Beverage Shop,"Sandwiches, Chicken Sandwich, Faluda, Egg Sandwich, Salads, Fruit Salad","Beverages, Juices, Fast Food",200,Desserts,Indiranagar,Low
Sly Granny - The Community House,no,yes,4.4,953,"080 48536712
080 48536715",Indiranagar,"Fine Dining, Bar","Cocktails, Pie, Rolls, Mezze Platter, Schnitzel, Pancakes, Eggs Benedict","Modern Indian, European, American",2500,Dine-out,Indiranagar,Premium
Nevermind - Bar & Social,no,yes,4.0,0,080 49652505,Indiranagar,"Casual Dining, Bar","Pasta, Nachos, Beef Teriyaki, Pizza","Continental, Asian, Modern Indian",1700,Dine-out,Indiranagar,Premium
Barbeque Nation,no,yes,4.7,7160,+91 8064806060,Indiranagar,Casual Dining,"Mutton Curry, Tender Coconut Payasam, Mutton Seekh Kebab, Kulfi, Kheer, Chicken Biryani, Brownie","North Indian, European, Mediterranean, BBQ, Kebab",1600,Dine-out,Indiranagar,Premium
Toit,no,no,4.7,14956,+91 9019713388,Indiranagar,Microbrewery,"Beer, Pesto Pizza, Nachos, Cocktails, Beef Lasagna, Mai Thai, Tacos","Italian, American, Pizza",1500,Dine-out,Indiranagar,Premium
Bob's Bar,no,no,4.3,424,+91 7899025176,Indiranagar,"Bar, Casual Dining","Mutton Chops, Filter Coffee, Donne Biryani, Pork Ribs, Roast Beef, Honey Cake, Keema Dosa","South Indian, Finger Food",1000,Dine-out,Indiranagar,Premium
Dindigul Thalappakatti,yes,no,4.3,289,"+91 8042297250
+91 8042297350",Indiranagar,Casual Dining,"Mutton Biryani, Mutton Sukha, Chicken Varuval, Chicken Boneless Biryani, Kola Urundai, Dindigul Biryani","Biryani, Chinese, North Indian, South Indian",800,Dine-out,Indiranagar,Premium
Burma Burma,yes,no,4.7,1594,"080 43008120
080 43008130",Indiranagar,Casual Dining,"Samosa Soup, Khau Suey, Salads, Khao Suey, Avocado Ice Cream, Mocktails, Salad","Asian, Burmese",1500,Dine-out,Indiranagar,Premium
Arena - Artisanal Brewkitchen,no,yes,4.1,177,"+91 8041133313
+91 9606064301",Indiranagar,"Pub, Casual Dining","Cocktails, Mocktails, Pizza, Sushi, Beer","Sushi, Continental, Pizza, Italian, Asian",2000,Dine-out,Indiranagar,Premium
Vapour Pub & Brewery,no,yes,4.2,6907,080 49652872,Indiranagar,"Microbrewery, Pub","Pesto Pasta, Craft Beer, Wheat Beer, Cocktails, Crispy Chilli Corn, Butter Chicken, Paneer Tikka","North Indian, Continental, Chinese",1400,Dine-out,Indiranagar,Premium
Bombay Brasserie,yes,no,4.4,1865,"+91 8884400700
080 41471004",Indiranagar,Casual Dining,"Chips, Cocktails, Biryani, Pinacolada, Almond Soup, Mocktails, Tomato Soup",Modern Indian,1800,Dine-out,Indiranagar,Premium
The Fatty Bao - Asian Gastro Bar,yes,no,4.6,3760,00 08044114499,Indiranagar,"Casual Dining, Bar","Ramen, Cocktails, Crab Sushi, Maki Roll, Creme Brulee, Thai Chicken Salad, Beef Salad","Asian, Thai, Vietnamese, Malaysian, Beverages",1200,Dine-out,Indiranagar,Premium
Delhi Highway,yes,yes,4.5,3219,"080 42111151
+91 8884042151",Indiranagar,Casual Dining,"Kheer, Dum Aloo Kashmiri, Lunch Thali, Dahipuri, Tandoori Mushrooms, Buttermilk, Lassi",North Indian,1200,Dine-out,Indiranagar,Premium
The Black Rabbit,no,yes,4.3,4187,"080 42415575
+91 7406636763",Indiranagar,"Bar, Casual Dining","Burgers, Spicy Fries, Cosmopolitan, Cocktails, Custard, Pepperoni Pizza, Peri Peri Chicken","Continental, Salad, Burger, Finger Food, Pizza",1500,Dine-out,Indiranagar,Premium
1131 Bar + Kitchen,no,yes,4.6,2785,080 49652166,Indiranagar,"Bar, Casual Dining","Pizza, Chocolate Cake, Cocktails, Beer, Nachos, Sangria, Mocktails","Continental, Asian, Italian, North Indian",1500,Dine-out,Indiranagar,Premium
Smoke House Deli,yes,yes,4.6,5421,"080 25200898
080 25200899",Indiranagar,Casual Dining,"Cappuccino, Pasta, Cucumber Spritzer, Cocktails, Murgh Platter, Mocktails, Burgers","European, Italian, Desserts, Salad, Juices, Steak",1600,Dine-out,Indiranagar,Premium
The Pizza Bakery,yes,yes,4.8,1724,080 49652968,Indiranagar,Casual Dining,"Pizza, Garlic Bread, Beer, Tiramisu, Vanilla Ice Cream, Ravioli, Coffee Ice Cream","Italian, Pizza, Beverages",1200,Dine-out,Indiranagar,Premium
Three Dots & A Dash,no,yes,4.1,3864,080 49653111,Indiranagar,"Casual Dining, Bar","Cocktails, Pork Dumplings, Pork Steak, Cosmopolitan, Pizza, Mocktails, Chicken Pasta","European, Continental",1300,Dine-out,Indiranagar,Premium
Truffles,no,no,4.6,1313,080 49652148,Indiranagar,"Cafe, Casual Dining","Burgers, Pasta, Crunchy Veg Burger, American Cheese Burger, Peri Peri Chicken Burger, Mojito, Chicken Paprika","Cafe, American, Burger, Steak",900,Dine-out,Indiranagar,Premium
LOFT38,no,yes,4.3,3592,080 49337555,Indiranagar,"Lounge, Casual Dining","Cocktails, Mushroom Pizza, Pork Ribs, Mocktails, Nachos, Sea Food, Long Island Iced Tea","Continental, American, Asian, North Indian, Burger",2100,Dine-out,Indiranagar,Premium
Chianti,no,yes,4.7,4398,"080 41265000
080 41264000",Indiranagar,Casual Dining,"Pasta, Pizza, Salads, Tiramisu, Wine, Bruschettas, Sangria",Italian,1500,Dine-out,Indiranagar,Premium
Tipsy Bull - The Bar Exchange,no,yes,4.4,2993,080 49652910,Indiranagar,"Bar, Casual Dining","Cocktails, Peri Peri Chicken, Pizza, Mocktails, Biryani, Sangria, Chicken Dim Sum","Chinese, Continental, North Indian, Mexican",1400,Dine-out,Indiranagar,Premium
Rajdhani Thali Restaurant,yes,yes,4.0,1129,"080 25212517
080 25212518",Indiranagar,Casual Dining,"Lassi, Dahi Vada, Aamras, Daal Baati Churma, Malpua, Veg Thali, Kadhi",North Indian,1000,Dine-out,Indiranagar,Premium
BTDT? Been There Done That,no,yes,4.3,879,+91 9108974398,Indiranagar,"Bar, Casual Dining","Cocktails, Momos, Pizza, Roti, Mocktails, Nachos, Fish","European, Continental, Asian, Finger Food",1300,Dine-out,Indiranagar,Premium
The Teal Door Cafe,yes,no,4.2,1855,080 49653146,Indiranagar,Cafe,"Mocktails, Sandwiches, Mushroom Soup, Idli Platter, Nachos, Appam, Egg Dosa","Cafe, Continental",800,Dine-out,Indiranagar,Premium
Tippler,no,yes,4.2,2901,080 49652782,Indiranagar,Pub,"Cocktails, Pie, Peri Peri Fries, Long Island Iced Tea, Chicken Steak, Mocktails, Nachos","Russian, Continental, North Indian",1300,Dine-out,Indiranagar,Premium
Tandoori Taal,yes,yes,4.3,1788,"080 41266222
+91 9663231111",Indiranagar,Casual Dining,"Veg Pulao, Sarso Da Saag, Chicken Curry, Murgh Makhani, Makkai Roti, Tandoori Chicken, Dal Makhani","Biryani, North Indian",900,Dine-out,Indiranagar,Premium
Urban Tamaasha,yes,yes,4.1,840,"+91 9513951515
+91 9606082474",Indiranagar,Casual Dining,"Virgin Mojito, Pasta Alfredo, Mocktails, Mutton Boti Kebab, Chelo Kebab, Diwani Handi, Dragon Rolls","North Indian, Chinese, Continental",1200,Dine-out,Indiranagar,Premium
Mainland China,yes,yes,4.4,1507,080 49652961,Indiranagar,Casual Dining,"Basil Chicken, Lunch Buffet, Chicken Tom Yum Soup, Sweet Corn Soup, Singapore Noodles, Chicken Dim Sum, Chicken Wings","Chinese, Momos",1700,Dine-out,Indiranagar,Premium
Paradise,yes,no,4.1,3238,"+91 9513477571
+91 9886225506",Indiranagar,Casual Dining,"Chicken Biryani, Hyderabadi Biryani, Mutton Biryani, Hydrabadi Biryani, Vegetable Biryani, Reshmi Kebab, Mutton Seekh Kabab","Biryani, North Indian, Kebab",800,Dine-out,Indiranagar,Premium
Bricklane,no,yes,4.2,1633,"080 42415505
+91 7899383979",Indiranagar,Casual Dining,"Pizza, Tandoori Chicken, Mocktails, Sali Boti, Chocolate Mud Pot, Cocktails, Crispy Lotus Stem","Italian, Mediterranean, Pizza",1500,Dine-out,Indiranagar,Premium
Little Italy,yes,yes,4.3,3276,"080 25207171
080 25207272",Indiranagar,Casual Dining,"Pasta, Caesar Salad, Wood Fire Pizza, Chocolate Bomb, Ravioli, Cocktails, Mocktails","Italian, Pizza, Mexican",1400,Dine-out,Indiranagar,Premium
Monkey Bar,yes,no,4.3,3848,080 44114455,Indiranagar,Pub,"Cocktails, Burgers, Nachos, Sandwiches, Butterfly Chicken, Pizza, Dabeli","American, Asian, European, North Indian",1400,Dine-out,Indiranagar,Premium
Dhaba - Estd 1986 Delhi,yes,yes,4.4,1420,"080 48536713
+91 8884498122",Indiranagar,"Casual Dining, Bar","Gajar Halwa, Shikanji, Kheer, Lunch Buffet, Dal Makhani, Panner Tikka, Butter Chicken",North Indian,1100,Dine-out,Indiranagar,Premium
Phobidden Fruit,no,no,4.4,2921,"080 41255175
080 41107735",Indiranagar,Casual Dining,"Pho, Noodles, Salads, Mocktails, Veg Momos, Banh Cuon, Pork Chops","Vietnamese, Salad",1100,Dine-out,Indiranagar,Premium
Mamagoto,yes,yes,4.4,2558,"080 40937237
+91 8884498760",Indiranagar,Casual Dining,"Noodles, Cocktails, Spicy Chicken Bangkok Bowl, Tempura Prawns, Pad Thai, Dumplings, Khao Suey","Asian, Thai, Chinese, BBQ, Momos",1600,Dine-out,Indiranagar,Premium
Bologna,no,yes,4.5,717,+91 8043027392,Indiranagar,Casual Dining,"Tiramisu, Pasta, Pizza, Lasagne, Bruschettas, Mango Mousse, Watermelon Sangria",Italian,1000,Dine-out,Indiranagar,Premium
The Marina,no,no,4.4,542,080 49653074,Indiranagar,Casual Dining,"Sea Food, Jumbo Prawns, Malabar Fish Curry, Crab Soup, Mocktails, Ghee Rice, Veg Starter","Seafood, Continental, North Indian, South Indian",1200,Dine-out,Indiranagar,Premium
Onesta,yes,yes,4.3,4645,"080 43712857
+91 9071749304",Indiranagar,"Casual Dining, Cafe","Bbq Pizza, Choux Pastry, Bbq Chicken, Tiramisu, Barbeque Chicken, Chicken Calzone, Pasta","Pizza, Cafe, Italian",600,Dine-out,Indiranagar,Mid
Bhartiya Jalpan,no,no,4.1,1075,"+91 9686443672
080 48525797",Indiranagar,Casual Dining,"Chaat, Jalebi, Rasgulla, Panipuri, Dhokla, Kullad Chai, Paratha","North Indian, Street Food, Chinese",800,Dine-out,Indiranagar,Premium
Ciclo Cafe,yes,no,4.3,1273,"00 08048664512
+91 7829278585",Indiranagar,"Cafe, Casual Dining","Pizza, Cheesy Fries, Tiramisu, Ravioli Pasta, Salads, Burgers, Cocktails","Cafe, Italian, American",1000,Dine-out,Indiranagar,Premium
Lono,no,yes,4.2,172,"+91 8088664206
+91 9980838486",Indiranagar,"Lounge, Casual Dining","Cocktails, Pizza, Mocktails, Jalapeno Nuggets, Chicken Tikka, Fish Grill, Steak","Continental, Modern Indian",1500,Dine-out,Indiranagar,Premium
Lazy Suzy,yes,yes,4.3,1236,080 49652565,Indiranagar,"Cafe, Bakery","Hot Chocolate, Pizza, Sandwiches, Pancakes, Mushroom Pasta, Pasta Salad, Sandwich","Cafe, Continental, Beverages, Burger, Desserts, Pizza, Bakery, European",1000,Dine-out,Indiranagar,Premium
Nagarjuna,no,no,4.2,1926,"080 42800900
080 50924455",Indiranagar,Casual Dining,"Mutton Biryani, Andhra Style Biryani, Andhra Meal, Chicken Biryani, Butter Naan, Dal Palak, Andhra Thali","Andhra, Biryani",850,Dine-out,Indiranagar,Premium
Pasta Street,yes,yes,4.5,1619,"080 48504242
080 48501500",Indiranagar,Casual Dining,"Pasta, Pizza, Garlic Bread, Ravioli, Orange Mojito, Chicken Calzone, Mocktails","Italian, Pizza, Salad",1300,Dine-out,Indiranagar,Premium
